# macOS bundled-font coverage, contiguous renderable ranges.
# format: U+XXXX U+YYYY count   (inclusive; a single scalar omits the end)
# os: Version 26.5.1 (Build 25F80)
# base font: PingFang TC   bundled fonts merged: 655

U+208D5        1
U+208DB        1
U+208F6        1
U+20906        1
U+2090C        1
U+2090E        1
U+20916        1
U+20923        1
U+20927        1
U+20929        1
U+20948        1
U+20954        1
U+20964        1
U+20979        1
U+2097C        1
U+20984        1
U+2099D        1
U+209A9        1
U+209AF        1
U+209B3        1
U+209B9 U+209BB  3
U+209BF        1
U+209C6        1
U+209CC U+209CD  2
U+209E7        1
U+20A11        1
U+20A21        1
U+20A2A        1
U+20A50        1
U+20A55        1
U+20A64        1
U+20A6F        1
U+20A7A        1
U+20A8A        1
U+20AB4        1
U+20AB8        1
U+20AC2        1
U+20AC5 U+20AC6  2
U+20ACD        1
U+20ACF        1
U+20AD3        1
U+20AFE        1
U+20B03        1
U+20B09        1
U+20B0D        1
U+20B12        1
U+20B15 U+20B16  2
U+20B1D        1
U+20B20        1
U+20B64        1
U+20B8F        1
U+20B9F        1
U+20BA8 U+20BA9  2
U+20BB6 U+20BB7  2
U+20BBE U+20BBF  2
U+20BC5 U+20BC7  3
U+20BCB        1
U+20BD7        1
U+20BE2        1
U+20BE6        1
U+20BEA U+20BEB  2
U+20BF9        1
U+20BFB U+20C03  9
U+20C09        1
U+20C0B U+20C0D  3
U+20C0F        1
U+20C18 U+20C19  2
U+20C20        1
U+20C22        1
U+20C2D        1
U+20C32 U+20C34  3
U+20C37        1
U+20C3A U+20C3B  2
U+20C40 U+20C4D  14
U+20C51        1
U+20C53        1
U+20C58        1
U+20C5C        1
U+20C64 U+20C65  2
U+20C76 U+20C78  3
U+20C7C        1
U+20C8D        1
U+20C8F        1
U+20C93 U+20C94  2
U+20C96        1
U+20C98        1
U+20C9C U+20CA8  13
U+20CAE        1
U+20CB3        1
U+20CB5        1
U+20CB8 U+20CBA  3
U+20CBF        1
U+20CCF U+20CDA  12
U+20CDD U+20CDE  2
U+20CE8        1
U+20CED        1
U+20CF9 U+20CFA  2
U+20CFF        1
U+20D09 U+20D1E  22
U+20D20        1
U+20D24 U+20D25  2
U+20D28        1
U+20D2B        1
U+20D2D        1
U+20D30 U+20D33  4
U+20D3C        1
U+20D45 U+20D49  5
U+20D4B U+20D50  6
U+20D58        1
U+20D5A        1
U+20D68 U+20D69  2
U+20D6F        1
U+20D71        1
U+20D74        1
U+20D7C U+20DA7  44
U+20DAF        1
U+20DB2        1
U+20DC7 U+20DC8  2
U+20DD0        1
U+20DE1        1
U+20DE4 U+20DE6  3
U+20E02        1
U+20E04        1
U+20E09 U+20E0A  2
U+20E0D U+20E2C  32
U+20E3A        1
U+20E3C U+20E3E  3
U+20E4C        1
U+20E57        1
U+20E5B        1
U+20E64        1
U+20E6D        1
U+20E6F U+20E7E  16
U+20E85        1
U+20E8C        1
U+20E95 U+20E96  2
U+20E98 U+20E9A  3
U+20E9D        1
U+20E9F U+20EA0  2
U+20EA2 U+20EA3  2
U+20EA5 U+20ECB  39
U+20ED2 U+20ED3  2
U+20ED7 U+20ED8  2
U+20EDD U+20EDE  2
U+20EE4 U+20EE5  2
U+20EEA        1
U+20EEC        1
